Predicted Power,Actual Power,Error,Absolute Error,Relative Error (%),Timestamp
236.89679654963416,311.19,74.29320345036584,74.29320345036584,23.873904511822992,2025/3/25 15:45
241.37936156923976,297.88,56.50063843076023,56.50063843076023,18.967583735309944,2025/3/25 16:00
250.50471694180624,294.48,43.97528305819378,43.97528305819378,14.933198539180538,2025/3/25 16:15
252.03067701083788,298.06,46.029322989162125,46.029322989162125,15.442972216717,2025/3/25 16:30
257.2597606373001,300.17,42.91023936269994,42.91023936269994,14.295312443843702,2025/3/25 16:45
264.657644515096,307.15,42.49235548490395,42.49235548490395,13.834398660227942,2025/3/25 17:00
267.34013027431,295.82,28.47986972568998,28.47986972568998,9.627432129565396,2025/3/25 17:15
271.69614717883223,277.66,5.963852821167791,5.963852821167791,2.1478977242547157,2025/3/25 17:30
275.1044776514034,294.84,19.73552234859659,19.73552234859659,6.6936380235347634,2025/3/25 17:45
269.99009807213366,290.49,20.499901927866347,20.499901927866347,7.057007789548448,2025/3/25 18:00
268.27710649854475,281.38,13.102893501455242,13.102893501455242,4.656654169255308,2025/3/25 18:15
270.1249201338289,278.47,8.345079866171147,8.345079866171147,2.9967608238475063,2025/3/25 18:30
270.1461701408034,263.25,-6.896170140803406,6.896170140803406,2.619627783779976,2025/3/25 18:45
265.0562128386184,254.24,-10.816212838618412,10.816212838618412,4.254331670317085,2025/3/25 19:00
263.3987172954618,218.24,-45.15871729546177,45.15871729546177,20.692227499743897,2025/3/25 19:15
261.18474749863265,201.86,-59.32474749863263,59.32474749863263,29.389055532846157,2025/3/25 19:30
253.48146897988732,198.27,-55.21146897988734,55.21146897988734,27.84660764606824,2025/3/25 19:45
251.37152842073883,204.37,-47.00152842073885,47.00152842073885,22.998252395515905,2025/3/25 20:00
248.0357112824272,217.94,-30.09571128242717,30.09571128242717,13.809172837667877,2025/3/25 20:15
239.1571435818912,207.0,-32.15714358189118,32.15714358189118,15.534851971920602,2025/3/25 20:30
230.02654391994164,203.08,-26.946543919941632,26.946543919941632,13.268930431321827,2025/3/25 20:45
228.7847662516806,223.99,-4.794766251680585,4.794766251680585,2.1406162112944527,2025/3/25 21:00
225.5406891916495,232.92,7.379310808350482,7.379310808350482,3.1681739688937465,2025/3/25 21:15
225.3955148017514,252.52,27.124485198248607,27.124485198248607,10.741519562109088,2025/3/25 21:30
212.68758577329424,250.45,37.76241422670577,37.76241422670577,15.07782560458802,2025/3/25 21:45
204.25251636692465,232.79,28.53748363307534,28.53748363307534,12.258895843061593,2025/3/25 22:00
207.76333465013303,209.97,2.206665349866938,2.206665349866938,1.0509431584825868,2025/3/25 22:15
215.99550952646345,198.61,-17.385509526463437,17.385509526463437,8.753592229220423,2025/3/25 22:30
218.2620340467281,198.35,-19.91203404672811,19.91203404672811,10.038837432174477,2025/3/25 22:45
222.8273990474068,210.61,-12.217399047406758,12.217399047406758,5.800958666445542,2025/3/25 23:00
227.29150076762224,214.75,-12.54150076762224,12.54150076762224,5.840046923220675,2025/3/25 23:15
235.52924932399787,259.83,24.30075067600211,24.30075067600211,9.35255770157132,2025/3/25 23:30
238.65061492035636,261.42,22.769385079643683,22.769385079643683,8.70988642018016,2025/3/25 23:45
237.91646474259045,252.54,14.623535257409545,14.623535257409545,5.790581791955236,2025/3/26 0:00
239.27474837887667,232.45,-6.824748378876677,6.824748378876677,2.9360070461921883,2025/3/26 0:15
238.05647517052117,228.11,-9.946475170521126,9.946475170521126,4.360385415157935,2025/3/26 0:30
243.53601356194775,211.48,-32.05601356194779,32.05601356194779,15.157940969326951,2025/3/26 0:45
241.74377918404664,222.23,-19.51377918404665,19.51377918404665,8.78089330155149,2025/3/26 1:00
243.0745744053904,247.92,4.845425594609623,4.845425594609623,1.954431104633619,2025/3/26 1:15
245.06298770557672,257.28,12.217012294423256,12.217012294423256,4.748527788564408,2025/3/26 1:30
240.13006244568805,253.2,13.069937554311934,13.069937554311934,5.161902667577714,2025/3/26 1:45
240.25132217768424,249.81,9.558677822315758,9.558677822315758,3.826379177099368,2025/3/26 2:00
240.2336140727712,243.02,2.786385927228821,2.786385927228821,1.1465665077885254,2025/3/26 2:15
246.90550756296048,241.52,-5.38550756296047,5.38550756296047,2.229839169823716,2025/3/26 2:30
246.7177172721945,242.88,-3.83771727219451,3.83771727219451,1.5800878096973527,2025/3/26 2:45
246.7177172721945,254.54,7.8222827278054865,7.8222827278054865,3.0731054953258483,2025/3/26 3:00
243.76316717236625,269.83,26.06683282763373,26.06683282763373,9.66046504377722,2025/3/26 3:15
245.11910812864087,259.11,13.99089187135914,13.99089187135914,5.399595488925066,2025/3/26 3:30
246.70773843770024,277.31,30.60226156229976,30.60226156229976,11.035397772272448,2025/3/26 3:45
241.96710780369017,271.11,29.142892196309845,29.142892196309845,10.749471504665667,2025/3/26 4:00
241.93155535022044,275.04,33.108444649779585,33.108444649779585,12.037683482318045,2025/3/26 4:15
242.88920847963723,272.15,29.260791520362744,29.260791520362744,10.751714686882968,2025/3/26 4:30
245.005781246661,275.47,30.464218753339026,30.464218753339026,11.058996897421848,2025/3/26 4:45
245.75165212964848,266.7,20.948347870351512,20.948347870351512,7.854648620301334,2025/3/26 5:00
246.15303445554545,262.7,16.546965544454537,16.546965544454537,6.298806830775881,2025/3/26 5:15
250.4244311947276,238.79,-11.634431194727595,11.634431194727595,4.872243894100559,2025/3/26 5:30
255.6365712385728,227.15,-28.486571238572765,28.486571238572765,12.540863411208552,2025/3/26 5:45
256.8538258309692,234.37,-22.48382583096918,22.48382583096918,9.593303678354562,2025/3/26 6:00
257.865063247925,242.67,-15.195063247924992,15.195063247924992,6.2616158766715015,2025/3/26 6:15
257.865063247925,212.2,-45.66506324792499,45.66506324792499,21.51982245424292,2025/3/26 6:30
264.6805730613805,171.67,-93.01057306138054,93.01057306138054,54.17986431020352,2025/3/26 6:45
265.94393410109706,151.51,-114.43393410109708,114.43393410109708,75.52896449146694,2025/3/26 7:00
263.82171944749007,116.9,-146.92171944749006,146.92171944749006,125.68153930484549,2025/3/26 7:15
263.0925152829621,179.72,-83.37251528296215,83.37251528296215,46.3902266208078,2025/3/26 7:30
262.3245705466769,179.65,-82.6745705466769,82.6745705466769,46.01979991462894,2025/3/26 7:45
260.83527727814675,226.12,-34.71527727814674,34.71527727814674,15.352590340585262,2025/3/26 8:00
260.2253079807901,275.57,15.344692019209845,15.344692019209845,5.568346343652894,2025/3/26 8:15
258.9130404904524,261.21,2.296959509547605,2.296959509547605,0.8793535888927401,2025/3/26 8:30
258.0200412811296,245.1,-12.920041281129585,12.920041281129585,5.271334672021344,2025/3/26 8:45
255.15225544681613,220.61,-34.542255446816114,34.542255446816114,15.657610918272272,2025/3/26 9:00
249.05945869293404,207.41,-41.64945869293405,41.64945869293405,20.080738003429907,2025/3/26 9:15
253.34355685515584,213.62,-39.72355685515584,39.72355685515584,18.59542966723024,2025/3/26 9:30
252.05282294940903,219.12,-32.93282294940906,32.93282294940906,15.02958331023824,2025/3/26 9:45
246.52291052802863,182.99,-63.53291052802862,63.53291052802862,34.7193346783944,2025/3/26 10:00
248.10473927184287,182.69,-65.41473927184288,65.41473927184288,35.80641484033449,2025/3/26 10:15
260.8229067821339,183.28,-77.54290678213388,77.54290678213388,42.30843888154276,2025/3/26 10:30
260.2626412092698,183.05,-77.2126412092698,77.2126412092698,42.18117520307437,2025/3/26 10:45
272.9945569012261,182.77,-90.22455690122608,90.22455690122608,49.36508010131679,2025/3/26 11:00
278.9092955012029,182.67,-96.23929550120292,96.23929550120292,52.68478431113497,2025/3/26 11:15
282.4794284460156,182.83,-99.64942844601556,99.64942844601556,54.50387159982555,2025/3/26 11:30
282.6283087692101,182.09,-100.53830876921016,100.53830876921016,55.21352560225984,2025/3/26 11:45
277.1838685299897,183.01,-94.17386852998976,94.17386852998976,51.4583184142606,2025/3/26 12:00
277.7795894855127,182.92,-94.85958948551271,94.85958948551271,51.85851163648637,2025/3/26 12:15
278.55700827340894,187.76,-90.79700827340896,90.79700827340896,48.358014632169045,2025/3/26 12:30
287.77099758773693,209.23,-78.54099758773694,78.54099758773694,37.53811479601367,2025/3/26 12:45
