date,MAE,MSE,RMSE,ACC,K,Pe,n_samples
2025-03-15,56.276390114659186,4698.426642027195,68.54507015115817,0.8488532080459578,0.6155005397187652,0.0,96
2025-03-16,27.909701615745757,1096.187014791418,33.108715088197215,0.9269929105001165,0.6939393273005305,0.0,96
2025-03-17,69.39852077800913,9539.668945621428,97.67122885282762,0.7846279407875907,-0.03500253055845892,20.576228852827608,96
2025-03-18,45.20342810751597,3150.0362161341695,56.12518343964828,0.8762399483138957,0.6835198816316312,0.0,96
2025-03-19,15.498269982286914,365.7228103047262,19.123880628803512,0.9578304727038511,0.7957602612135914,0.0,96
2025-03-20,52.70294528860338,3922.8529702618266,62.63268292402798,0.861890445592,0.30945222796000027,0.0,96
2025-03-21,37.55873538438927,2174.1904195036204,46.62821484362896,0.8971814446667499,0.564830160805442,0.0,96
2025-03-22,46.13104511187212,3109.508813485496,55.76296991270727,0.8770386550987712,0.756584164238363,0.0,96
2025-03-23,55.37498332151097,4612.827336917952,67.91779838096897,0.8502363872525491,0.3672525304638117,0.0,96
2025-03-24,33.07339349299749,1737.6474378885396,41.68509851120109,0.9080813704273405,0.627704464267024,0.0,96
2025-03-25,25.292803974412987,985.175398953062,31.387503866237306,0.9307883045948461,0.8411203995236061,0.0,96
2025-03-26,43.26864743036779,2737.239317245494,52.318632601067605,0.8846336657087814,0.7203133052211652,0.0,96
